"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"Pennsylvania-16","Lloyd Smucker","R","R+5","42.9%","53.8%","44.2%","51.0%"
"Pennsylvania-17","Matthew Cartwright","D","R+1","53.8%","46.2%","43.3%","53.4%"
"Pennsylvania-18","OPEN (Murphy)","R","R+11","0.0%","100.0%","38.5%","58.1%"
"Rhode Island-01","David Cicilline","D","D+14","64.5%","35.1%","59.2%","34.3%"
"Rhode Island-02","Jim Langevin","D","D+6","58.1%","30.7%","49.9%","43.1%"
"South Carolina-01","Mark Sanford","R","R+10","36.8%","58.6%","40.5%","53.2%"
"South Carolina-02","Joe Wilson","R","R+13","35.9%","60.2%","38.1%","56.7%"
"South Carolina-03","Jeff Duncan","R","R+19","27.1%","72.8%","29.0%","67.0%"
"South Carolina-04","Trey Gowdy","R","R+15","31.0%","67.2%","34.2%","60.0%"
"South Carolina-05","Ralph Norman","R","R+9","38.7%","59.2%","38.8%","57.3%"
"South Carolina-06","Jim Clyburn","D","D+20","70.1%","27.6%","67.1%","29.7%"
"South Carolina-07","Tom Rice","R","R+9","38.9%","61.0%","39.2%","57.9%"
"South Dakota-AL","(Open) Noem","R","R+14","35.9%","64.1%","31.7%","61.5%"
"Tennessee-01","Phil Roe","R","R+28","15.4%","78.4%","19.6%","76.4%"
"Tennessee-02","OPEN (Duncan)","R","R+20","24.4%","75.6%","29.5%","64.7%"
"Tennessee-03","Chuck Fleischmann","R","R+18","28.8%","66.4%","30.0%","65.1%"
"Tennessee-04","Scott DesJarlais","R","R+20","35.0%","65.0%","27.2%","68.1%"
"Tennessee-05","Jim Cooper","D","D+7","62.6%","37.4%","56.0%","37.9%"
"Tennessee-06","OPEN (Black)","R","R+24","21.8%","71.1%","23.6%","72.3%"
"Tennessee-07","Marsha Blackburn","R","R+20","23.5%","72.2%","28.0%","67.0%"
"Tennessee-08","David Kustoff","R","R+19","25.1%","68.8%","30.5%","65.8%"
"Tennessee-09","Steve Cohen","D","D+28","78.7%","18.9%","76.9%","19.6%"
"Texas-01","Louie Gohmert","R","R+25","24.1%","73.9%","25.1%","71.7%"
"Texas-02","Ted Poe","R","R+11","36.0%","60.6%","42.8%","52.0%"
"Texas-03","(Open) Johnson","R","R+13","34.6%","61.2%","39.9%","53.8%"
"Texas-04","John Ratcliffe","R","R+28","0.0%","88.0%","21.6%","74.9%"
"Texas-05","Jeb Hensarling","R","R+16","0.0%","80.6%","34.2%","62.5%"
"Texas-06","Joe Barton","R","R+9","39.0%","58.3%","41.6%","53.8%"
"Texas-07","John Culberson","R","R+7","43.8%","56.2%","48.2%","46.8%"
"Texas-08","Kevin Brady","R","R+28","0.0%","100.0%","23.6%","71.9%"
"Texas-09","Al Green","D","D+29","80.6%","19.4%","79.1%","18.0%"
"Texas-10","Michael McCaul","R","R+9","38.4%","57.3%","42.8%","51.9%"
"Texas-11","Mike Conaway","R","R+32","0.0%","89.5%","19.0%","77.5%"
"Texas-12","Kay Granger","R","R+18","26.9%","69.4%","32.5%","62.4%"
"Texas-13","Mac Thornberry","R","R+33","0.0%","90.0%","16.8%","79.5%"
"Texas-14","Randy Weber","R","R+12","38.1%","61.9%","38.3%","58.0%"
"Texas-15","Vicente Gonzalez","D","D+7","57.3%","37.7%","56.2%","39.7%"
"Texas-16","(Open) O'Rourke","D","D+17","85.7%","0.0%","67.2%","26.9%"
"Texas-17","Bill Flores","R","R+12","35.2%","60.8%","38.4%","55.7%"
"Texas-18","Sheila Jackson Lee","D","D+27","73.5%","23.6%","76.2%","19.9%"
"Texas-19","Jodey Arrington","R","R+27","0.0%","86.7%","23.3%","72.0%"
"Texas-20","Joaquin Castro","D","D+10","79.7%","0.0%","60.2%","33.9%"
"Texas-21","Lamar Smith","R","R+10","36.4%","57.0%","42.1%","51.9%"
"Texas-22","Pete Olson","R","R+10","40.5%","59.5%","43.9%","51.7%"
"Texas-23","Will Hurd","R","R+1","47.0%","48.3%","49.4%","45.9%"
